Symbol,Sector,Industry,Company_Name
TVSSRICHAK.NS,Consumer Cyclical,Auto Parts,TVS Srichakra Limited
TVSSCS.NS,Industrials,Integrated Freight & Logistics,TVS Supply Chain Solutions Limited
TICL.NS,Industrials,Engineering & Construction,Twamev Construction and Infrastructure Limited
UYFINCORP.NS,Financial Services,Credit Services,U. Y. Fincorp Limited
UCAL.NS,Consumer Cyclical,Auto Parts,UCAL Limited
UCOBANK.NS,Financial Services,Banks - Regional,UCO Bank
UDAICEMENT.NS,Basic Materials,Building Materials,Udaipur Cement Works Limited
USK.NS,Industrials,Engineering & Construction,Udayshivakumar Infra Limited
UFLEX.NS,Consumer Cyclical,Packaging & Containers,Uflex Limited
UFO.NS,Communication Services,Entertainment,UFO Moviez India Limited
UGROCAP.NS,Financial Services,Credit Services,UGRO Capital Limited
UEL.NS,Technology,Solar,Ujaas Energy Limited
UJJIVANSFB.NS,Financial Services,Banks - Regional,Ujjivan Small Finance Bank Limited
ULTRACEMCO.NS,Basic Materials,Building Materials,UltraTech Cement Limited
UMAEXPORTS.NS,Consumer Defensive,Farm Products,Uma Exports Limited
UMANGDAIRY.NS,Consumer Defensive,Packaged Foods,Umang Dairies Limited
UMIYA-MRO.NS,Real Estate,Real Estate - Development,Umiya Buildcon Limited
UNICHEMLAB.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Unichem Laboratories Limited
UNIECOM.NS,Technology,Software - Application,UNICOMMERCE ESOLUTIONS L
UNIMECH.NS,Industrials,Aerospace & Defense,UNIMECH AEROSPACE N MFG L
UNIONBANK.NS,Financial Services,Banks - Regional,Union Bank of India
UNIPARTS.NS,Industrials,Farm & Heavy Construction Machinery,Uniparts India Limited
UNIENTER.NS,Basic Materials,Chemicals,Uniphos Enterprises Limited
UNITECH.NS,Real Estate,Real Estate - Diversified,Unitech Limited
UBL.NS,Consumer Defensive,Beverages - Brewers,United Breweries Limited
UNIDT.NS,Energy,Oil & Gas Equipment & Services,United Drilling Tools Limited
UNITEDTEA.NS,Consumer Defensive,Farm Products,The United Nilgiri Tea Estates Company Limited
UNITEDPOLY.NS,Consumer Cyclical,Textile Manufacturing,United Polyfab Gujarat Limited
UNITDSPR.NS,Consumer Defensive,Beverages - Wineries & Distilleries,UNITED SPIRITS LIMITED
UNIVAFOODS.NS,Financial Services,Shell Companies,Univa Foods Limited
UNIVASTU.NS,Industrials,Engineering & Construction,Univastu India Limited
UNIVCABLES.NS,Industrials,Electrical Equipment & Parts,Universal Cables Limited
UNIVPHOTO.NS,Healthcare,Medical Devices,Universus Photo Imagings Limited
UNOMINDA.NS,Consumer Cyclical,Auto Parts,Uno Minda Limited
UDS.NS,Industrials,Specialty Business Services,Updater Services Limited
UPL.NS,Basic Materials,Agricultural Inputs,UPL Limited
URAVIDEF.NS,Consumer Cyclical,Auto Parts,Uravi Defence and Technology Limited
URJA.NS,Technology,Solar,Urja Global Limited
UMESLTD.NS,Consumer Defensive,Education & Training Services,Usha Martin Education & Solutions Limited
USHAMART.NS,Basic Materials,Steel,Usha Martin Limited
UTIAMC.NS,Financial Services,Asset Management,UTI Asset Management Company Limited
GOLDSHARE.NS,Unknown,Unknown,UTI Gold Exchange Traded Scheme
NIF10GETF.NS,Unknown,Unknown,UTI Nifty 10 yr Benchmark G-Sec ETF
NIFITETF.NS,Unknown,Unknown,UTI Nifty IT ETF
NIFMID150.NS,Unknown,Unknown,UTI Nifty Midcap 150 ETF
SILVERETF.NS,Unknown,Unknown,UTI Silver Exchange Traded Fund
UTIBANKETF.NS,Unknown,Unknown,UTI Nifty Bank Exchange Traded Fund
UTINEXT50.NS,Unknown,Unknown,UTI Nifty Next 50 ETF
UTINIFTETF.NS,Unknown,Unknown,UTI Nifty 50 Exchange Traded Fund
UTISENSETF.NS,Unknown,Unknown,UTI BSE Sensex ETF
UTISXN50.NS,Unknown,Unknown,UTI BSE Sensex Next 50 ETF
UTKARSHBNK.NS,Financial Services,Banks - Regional,Utkarsh Small Finance Bank Limited
UTTAMSUGAR.NS,Consumer Defensive,Confectioners,Uttam Sugar Mills Limited
VGUARD.NS,Industrials,Electrical Equipment & Parts,V-Guard Industries Limited
V2RETAIL.NS,Consumer Cyclical,Apparel Retail,V2 Retail Limited
WABAG.NS,Industrials,Engineering & Construction,VA Tech Wabag Limited
VADILALIND.NS,Consumer Defensive,Packaged Foods,Vadilal Industries Limited
VAIBHAVGBL.NS,Consumer Cyclical,Luxury Goods,Vaibhav Global Limited
VAISHALI.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Vaishali Pharma Limited
VAKRANGEE.NS,Technology,Information Technology Services,Vakrangee Limited
VALIANTLAB.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Valiant Laboratories Limited
VALIANTORG.NS,Basic Materials,Chemicals,Valiant Organics Limited
DBREALTY.NS,Real Estate,Real Estate - Development,Valor Estate Limited
VARDHACRLC.NS,Consumer Cyclical,Textile Manufacturing,Vardhman Acrylics Limited
VHL.NS,Financial Services,Credit Services,Vardhman Holdings Limited
VARDMNPOLY.NS,Consumer Cyclical,Textile Manufacturing,Vardhman Polytex Limited
VSSL.NS,Basic Materials,Steel,Vardhman Special Steels Limited
VTL.NS,Consumer Cyclical,Textile Manufacturing,Vardhman Textiles Limited
VARROC.NS,Consumer Cyclical,Auto Parts,Varroc Engineering Limited
VBL.NS,Consumer Defensive,Beverages - Non-Alcoholic,Varun Beverages Limited
VASCONEQ.NS,Industrials,Engineering & Construction,Vascon Engineers Limited
VASWANI.NS,Basic Materials,Steel,Vaswani Industries Limited
VCL.NS,Consumer Cyclical,Textile Manufacturing,Vaxtex Cotfab Limited
MANYAVAR.NS,Consumer Cyclical,Apparel Manufacturing,Vedant Fashions Limited
VEDL.NS,Basic Materials,Other Industrial Metals & Mining,Vedanta Limited
VEEDOL.NS,Basic Materials,Specialty Chemicals,Veedol Corporation Limited
VENKEYS.NS,Consumer Defensive,Farm Products,Venky's (India) Limited
VENTIVE.NS,Consumer Cyclical,Resorts & Casinos,VENTIVE HOSPITALITY LTD
VENUSPIPES.NS,Basic Materials,Steel,Venus Pipes and Tubes Limited
VENUSREM.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Venus Remedies Limited
VERANDA.NS,Consumer Defensive,Education & Training Services,Veranda Learning Solutions Limited
VESUVIUS.NS,Industrials,Specialty Industrial Machinery,Vesuvius India Limited
VETO.NS,Industrials,Electrical Equipment & Parts,Veto Switchgears and Cables Limited
VSTL.NS,Basic Materials,Steel,Vibhor Steel Tubes Limited
VHLTD.NS,Consumer Cyclical,Lodging,Viceroy Hotels Limited
VIDHIING.NS,Basic Materials,Specialty Chemicals,Vidhi Specialty Food Ingredients Limited
VIJAYA.NS,Healthcare,Diagnostics & Research,Vijaya Diagnostic Centre Limited
VIJIFIN.NS,Financial Services,Credit Services,Viji Finance Limited
VIKASECO.NS,Basic Materials,Specialty Chemicals,Vikas Ecotech Limited
VIKASLIFE.NS,Consumer Defensive,Farm Products,Vikas Lifecare Limited
VIMTALABS.NS,Healthcare,Diagnostics & Research,Vimta Labs Limited
VINATIORGA.NS,Basic Materials,Specialty Chemicals,Vinati Organics Limited
VINDHYATEL.NS,Industrials,Engineering & Construction,Vindhya Telelinks Limited
VINNY.NS,Consumer Cyclical,Textile Manufacturing,Vinny Overseas Limited
VINCOFE.NS,Consumer Defensive,Beverages - Non-Alcoholic,Vintage Coffee and Beverages Limited
VINYLINDIA.NS,Basic Materials,Specialty Chemicals,Vinyl Chemicals (India) Limited
VIPCLOTHNG.NS,Consumer Cyclical,Apparel Manufacturing,VIP Clothing Limited
VIPIND.NS,Consumer Cyclical,Footwear & Accessories,V.I.P. Industries Limited
VIPULLTD.NS,Real Estate,Real Estate - Diversified,Vipul Limited
VIRINCHI.NS,Technology,Software - Application,Virinchi Limited
VISASTEEL.NS,Basic Materials,Steel,VISA Steel Limited
VIVIDHA.NS,Consumer Cyclical,Textile Manufacturing,Visagar Polytex Limited
VISAKAIND.NS,Industrials,Building Products & Equipment,Visaka Industries Limited
VMM.NS,Consumer Cyclical,Department Stores,VISHAL MEGA MART LIMITED
VISHNU.NS,Basic Materials,Specialty Chemicals,Vishnu Chemicals Limited
VPRPL.NS,Industrials,Engineering & Construction,Vishnu Prakash R Punglia Limited
VISHWARAJ.NS,Consumer Defensive,Confectioners,Vishwaraj Sugar Industries Limited
VLSFINANCE.NS,Financial Services,Capital Markets,VLS Finance Limited
VMART.NS,Consumer Cyclical,Department Stores,V-Mart Retail Limited
IDEA.NS,Communication Services,Telecom Services,Vodafone Idea Limited
VOLTAMP.NS,Industrials,Electrical Equipment & Parts,Voltamp Transformers Limited
VOLTAS.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Voltas Limited
VRAJ.NS,Basic Materials,Steel,VRAJ IRON AND STEEL LTD
VRLLOG.NS,Industrials,Trucking,VRL Logistics Limited
VSTIND.NS,Consumer Defensive,Tobacco,VST Industries Limited
VSTTILLERS.NS,Industrials,Farm & Heavy Construction Machinery,V.S.T. Tillers Tractors Limited
